author_is_maintainer,closed_on,coder,comments,confidence,engine,ev_id,is_pr,method,observed_on,polarity,repo_id,schema,signal,snippet,state,url,v
False,2021-11-01,rule-v0.1,3,medium,godot,0962fc2a6e6a,False,rule,2020-06-29,demand,godot-rust/gdnative,blocked_demand,contributor-names-blocker,[discussion] Add engine version feature flags,closed,https://github.com/godot-rust/gdnative/issues/496,0.1
True,2022-11-15,rule-v0.1,14,high,godot,0962fc2a6e6a,False,rule,2021-12-06,demand,godot-rust/gdnative,blocked_demand,issue-requests-new-version,Godot 4 + GDExtension support,closed,https://github.com/godot-rust/gdnative/issues/824,0.1
False,2022-07-17,rule-v0.1,4,medium,godot,0962fc2a6e6a,False,rule,2022-07-11,demand,godot-rust/gdnative,blocked_demand,issue-requests-new-version,GDNative 1.3 version check breaks compilation for Godot 3.5 RC,closed,https://github.com/godot-rust/gdnative/issues/904,0.1
False,2023-05-11,rule-v0.1,1,medium,godot,0962fc2a6e6a,True,rule,2023-05-11,demand,git-learning-game/oh-my-git,blocked_demand,issue-requests-new-version,Clarify Godot requirements,closed,https://github.com/git-learning-game/oh-my-git/pull/174,0.1
False,,rule-v0.1,3,high,godot,0962fc2a6e6a,False,rule,2025-08-15,demand,git-learning-game/oh-my-git,blocked_demand,issue-requests-new-version,Porting to Godot 4,open,https://github.com/git-learning-game/oh-my-git/issues/237,0.1
False,,rule-v0.1,16,medium,godot,0962fc2a6e6a,False,rule,2022-02-14,demand,touilleMan/godot-python,blocked_demand,issue-requests-new-version,godot 4.x?,open,https://github.com/touilleMan/godot-python/issues/324,0.1
False,,rule-v0.1,2,high,godot,0962fc2a6e6a,False,rule,2022-09-08,demand,touilleMan/godot-python,blocked_demand,issue-requests-new-version,[Godot 4] Better numpy support for image / np.arrays,open,https://github.com/touilleMan/godot-python/issues/370,0.1
True,,rule-v0.1,0,low,godot,0962fc2a6e6a,False,rule,2022-07-26,demand,touilleMan/godot-python,blocked_demand,contributor-names-blocker,[Godot4] fix macOS CI,open,https://github.com/touilleMan/godot-python/issues/358,0.1
False,,rule-v0.1,7,high,godot,0962fc2a6e6a,True,rule,2023-02-11,demand,touilleMan/godot-python,blocked_demand,issue-requests-new-version,Update README.rst to be able to understand how to try the godot4-meson version,open,https://github.com/touilleMan/godot-python/pull/385,0.1
False,2023-10-07,rule-v0.1,15,high,godot,0962fc2a6e6a,False,rule,2023-03-01,demand,gdquest-demos/godot-4-procedural-generation,blocked_demand,issue-requests-new-version,Port to Godot 4.0,closed,https://github.com/gdquest-demos/godot-4-procedural-generation/issues/10,0.1
False,2024-06-04,rule-v0.1,1,high,godot,0962fc2a6e6a,False,rule,2024-02-23,demand,gdquest-demos/godot-4-procedural-generation,blocked_demand,contributor-names-blocker,update to godot 4.3,closed,https://github.com/gdquest-demos/godot-4-procedural-generation/issues/13,0.1
False,,rule-v0.1,1,medium,godot,0962fc2a6e6a,False,rule,2023-05-05,demand,drwhut/tabletop-club,blocked_demand,issue-requests-new-version,VR support,open,https://github.com/drwhut/tabletop-club/issues/285,0.1
False,2024-02-27,rule-v0.1,1,high,godot,0962fc2a6e6a,False,rule,2023-11-15,demand,a-little-org-called-mario/a-little-game-called-mario,blocked_demand,issue-requests-new-version,Update to godot 4,closed,https://github.com/a-little-org-called-mario/a-little-game-called-mario/issues/666,0.1
False,,rule-v0.1,6,high,godot,0962fc2a6e6a,False,rule,2022-10-12,demand,db0/godot-card-game-framework,blocked_demand,issue-requests-new-version,a godot 4 version?,open,https://github.com/db0/godot-card-game-framework/issues/178,0.1
True,,rule-v0.1,7,medium,godot,0962fc2a6e6a,False,rule,2024-05-10,demand,db0/godot-card-game-framework,blocked_demand,issue-requests-new-version,MIT License,open,https://github.com/db0/godot-card-game-framework/issues/189,0.1
False,,rule-v0.1,0,low,godot,0962fc2a6e6a,True,rule,2025-06-06,demand,db0/godot-card-game-framework,blocked_demand,contributor-names-blocker,Another Godot 4 conversion,open,https://github.com/db0/godot-card-game-framework/pull/194,0.1
False,2022-08-18,rule-v0.1,0,medium,godot,0962fc2a6e6a,True,rule,2022-08-17,demand,Arnklit/Waterways,blocked_demand,issue-requests-new-version,Initial Godot 4 conversion,closed,https://github.com/Arnklit/Waterways/pull/15,0.1
False,2022-11-29,rule-v0.1,2,high,godot,0962fc2a6e6a,True,rule,2022-11-17,demand,Arnklit/Waterways,blocked_demand,issue-requests-new-version,Update to Godot 4.0 Beta 3,closed,https://github.com/Arnklit/Waterways/pull/18,0.1
True,,rule-v0.1,3,low,godot,0962fc2a6e6a,False,rule,2022-11-25,demand,Arnklit/Waterways,blocked_demand,contributor-names-blocker,TRACKER - 16-bit depth viewports needed for improved flowmap calculation (BLOCKED by Godot 4.0),open,https://github.com/Arnklit/Waterways/issues/19,0.1
False,2024-01-25,rule-v0.1,10,medium,godot,0962fc2a6e6a,True,rule,2023-04-16,demand,Arnklit/Waterways,blocked_demand,issue-requests-new-version,Godot 4 stable,closed,https://github.com/Arnklit/Waterways/pull/23,0.1
False,,rule-v0.1,3,low,godot,0962fc2a6e6a,False,rule,2023-08-26,demand,Arnklit/Waterways,blocked_demand,contributor-names-blocker,Cannot work with Godot 4.1.1,open,https://github.com/Arnklit/Waterways/issues/24,0.1
True,2025-12-17,rule-v0.1,1,low,godot,0962fc2a6e6a,True,rule,2025-12-15,demand,Arnklit/Waterways,blocked_demand,contributor-names-blocker,Godot 4.5 updates,closed,https://github.com/Arnklit/Waterways/pull/29,0.1
False,,rule-v0.1,2,medium,godot,0962fc2a6e6a,False,rule,2023-07-26,demand,godot-extended-libraries/godot-next,blocked_demand,issue-requests-new-version,godot 4.x support,open,https://github.com/godot-extended-libraries/godot-next/issues/106,0.1
False,,rule-v0.1,2,medium,godot,0962fc2a6e6a,False,rule,2023-10-16,demand,godot-extended-libraries/godot-next,blocked_demand,issue-requests-new-version,What's the status of this repository?,open,https://github.com/godot-extended-libraries/godot-next/issues/108,0.1
False,2021-12-22,rule-v0.1,1,low,godot,0962fc2a6e6a,False,rule,2021-12-22,demand,quentincaffeino/godot-console,blocked_demand,contributor-names-blocker,"[Resolved, User Error] [Godot 3.4.2, X11 Linux] Plugin cannot be properly loaded after install",closed,https://github.com/quentincaffeino/godot-console/issues/80,0.1
False,,rule-v0.1,18,high,godot,0962fc2a6e6a,True,rule,2022-05-18,demand,quentincaffeino/godot-console,blocked_demand,issue-requests-new-version,Godot 4 port,open,https://github.com/quentincaffeino/godot-console/pull/86,0.1
False,,rule-v0.1,3,high,godot,0962fc2a6e6a,False,rule,2022-09-19,demand,quentincaffeino/godot-console,blocked_demand,issue-requests-new-version,Godot 4 Beta 1 Port,open,https://github.com/quentincaffeino/godot-console/issues/90,0.1
False,,rule-v0.1,7,low,godot,0962fc2a6e6a,False,rule,2023-05-27,demand,quentincaffeino/godot-console,blocked_demand,contributor-names-blocker,Godot 4 Branch always asks to save the project on open,open,https://github.com/quentincaffeino/godot-console/issues/111,0.1
False,2024-08-31,rule-v0.1,3,high,godot,0962fc2a6e6a,False,rule,2024-06-21,demand,loudsmilestudios/TetraForce,blocked_demand,issue-requests-new-version,Godot 4+ Port.,closed,https://github.com/loudsmilestudios/TetraForce/issues/352,0.1
False,2023-06-14,rule-v0.1,2,low,godot,0962fc2a6e6a,False,rule,2023-06-14,demand,lawnjelly/smoothing-addon,blocked_demand,contributor-names-blocker,Can't import to Godot 4.x,closed,https://github.com/lawnjelly/smoothing-addon/issues/34,0.1
False,,rule-v0.1,5,high,godot,0962fc2a6e6a,False,rule,2024-01-04,demand,lawnjelly/smoothing-addon,blocked_demand,issue-requests-new-version,Godot 4 FPS Support,open,https://github.com/lawnjelly/smoothing-addon/issues/51,0.1
False,2022-10-19,rule-v0.1,4,medium,godot,0962fc2a6e6a,True,rule,2022-02-10,demand,ClarkThyLord/Voxel-Core,blocked_demand,issue-requests-new-version,Migrate to GDScript 2,closed,https://github.com/ClarkThyLord/Voxel-Core/pull/63,0.1
True,2022-10-19,rule-v0.1,0,medium,godot,0962fc2a6e6a,True,rule,2022-10-19,demand,ClarkThyLord/Voxel-Core,blocked_demand,issue-requests-new-version,Voxel-Core 3.2.0,closed,https://github.com/ClarkThyLord/Voxel-Core/pull/67,0.1
False,,rule-v0.1,9,high,godot,0962fc2a6e6a,False,rule,2023-05-09,demand,ClarkThyLord/Voxel-Core,blocked_demand,issue-requests-new-version,Port to godot 4,open,https://github.com/ClarkThyLord/Voxel-Core/issues/69,0.1
True,2025-08-25,rule-v0.1,0,high,godot,0962fc2a6e6a,True,rule,2025-08-25,demand,getenu/enu,blocked_demand,issue-requests-new-version,Add verification mode baseline for Godot 4 migration planning,closed,https://github.com/getenu/enu/pull/40,0.1
True,2025-10-08,rule-v0.1,1,high,godot,0962fc2a6e6a,True,rule,2025-08-25,demand,getenu/enu,blocked_demand,issue-requests-new-version,Add verification mode baseline for Godot 4 migration planning,closed,https://github.com/getenu/enu/pull/41,0.1
True,2025-10-08,rule-v0.1,0,high,godot,0962fc2a6e6a,True,rule,2025-08-26,demand,getenu/enu,blocked_demand,contributor-names-blocker,Godot 4 Migration Spike: Successful gdext-nim Integration,closed,https://github.com/getenu/enu/pull/42,0.1
False,,rule-v0.1,8,high,godot,0962fc2a6e6a,False,rule,2022-12-20,demand,samsface/godot-steam-api,blocked_demand,issue-requests-new-version,Godot 4 version of the plugin,open,https://github.com/samsface/godot-steam-api/issues/35,0.1
True,,rule-v0.1,0,high,godot,0962fc2a6e6a,True,rule,2024-07-04,demand,jayaarrgh/BookOfShaders-Godot,blocked_demand,issue-requests-new-version,Updates for godot4,open,https://github.com/jayaarrgh/BookOfShaders-Godot/pull/9,0.1
False,,rule-v0.1,9,high,godot,0962fc2a6e6a,False,rule,2022-01-24,demand,ephread/inkgd,blocked_demand,issue-requests-new-version,Support Godot 4,open,https://github.com/ephread/inkgd/issues/55,0.1
