behind,branch,commits,duplicated_commits,engine,ev_id,first_on,last_on,lifetime_days,line,merged,pattern,repo_id,schema,unique_commits,v
328,godot4,277,1,godot,0b23021ed5d8,2023-03-30,2025-01-11,653,4.x,False,godot4,drwhut/tabletop-club,branches,276,0.1
5,godot4,40,0,godot,0b23021ed5d8,2021-10-30,2022-04-18,170,4.x,False,godot4,touilleMan/godot-python,branches,40,0.1
5,godot4-meson,569,0,godot,0b23021ed5d8,2021-10-30,2026-02-26,1580,4.x,False,godot4,touilleMan/godot-python,branches,555,0.1
5,godot4-meson-wip-test-3,312,0,godot,0b23021ed5d8,2021-10-30,2024-09-20,1056,4.x,False,godot4,touilleMan/godot-python,branches,299,0.1
15,godot4,10,0,godot,0b23021ed5d8,2023-09-06,2023-09-08,2,4.x,False,godot4,git-learning-game/oh-my-git,branches,10,0.1
5,godot4-conversion,0,0,godot,0b23021ed5d8,,2022-09-21,,4.x,True,godot4,db0/godot-card-game-framework,branches,0,0.1
19,godot4,14,7,godot,0b23021ed5d8,2022-05-18,2022-11-28,194,4.x,False,godot4,quentincaffeino/godot-console,branches,7,0.1
0,renovate/godot.net.sdk-4.x,1,0,godot,0b23021ed5d8,2026-08-18,2026-08-18,0,4.x,False,4.x,quentincaffeino/godot-console,branches,1,0.1
1,godot4_0,11,0,godot,0b23021ed5d8,2022-08-18,2024-02-13,544,4.x,False,godot4,Arnklit/Waterways,branches,11,0.1
1,godot4_5_1,21,1,godot,0b23021ed5d8,2022-08-18,2025-12-16,1216,4.x,False,godot4,Arnklit/Waterways,branches,17,0.1
132,godot-3.2.1,7,0,godot,6b79220010ab,2020-05-29,2020-06-26,28,3.x,False,godot-3,Shin-NiL/Godot-Android-Admob-Plugin,branches,6,0.1
21,4.x,30,3,godot,6b79220010ab,2022-04-26,2024-07-31,827,4.x,False,4.x,lawnjelly/smoothing-addon,branches,17,0.1
4,godot4,31,0,godot,6b79220010ab,2023-08-28,2024-01-28,153,4.x,False,godot4,ephread/inkgd,branches,31,0.1
330,godot4-migration,77,64,godot,6b79220010ab,2024-06-21,2025-08-25,430,4.x,False,godot4,getenu/enu,branches,13,0.1
330,godot4-port,148,64,godot,6b79220010ab,2024-06-21,2025-10-01,467,4.x,False,godot4,getenu/enu,branches,84,0.1
330,godot4-squashed,149,64,godot,6b79220010ab,2024-06-21,2025-10-23,489,4.x,False,godot4,getenu/enu,branches,85,0.1
5,godot4,20,0,godot,99f27a7aa280,2021-10-01,2021-10-13,12,4.x,False,godot4,BraindeadBZH/godot_card_engine,branches,20,0.1
38,cassidyjames/godot4,1,0,godot,99f27a7aa280,2025-02-25,2025-02-25,0,4.x,False,godot4,HarmonyHoney/ROTA,branches,1,0.1
17,godot_2.x,2,1,godot,a92cdee694a6,2018-03-13,2018-03-13,0,2.x,False,godot_2,henriquelalves/GodotTIE,branches,1,0.1
0,godot-4.0.3-conversion,9,0,godot,a92cdee694a6,2023-09-17,2023-09-17,0,4.x,False,godot-4,jreo03/g-rcp2,branches,9,0.1
10,godot-2.1,0,0,godot,992ad7453568,,2018-01-06,,2.x,True,godot-2,akien-mga/dynadungeons,branches,0,0.1
166,4.x,4,0,godot,992ad7453568,2026-04-20,2026-04-23,3,4.x,False,4.x,nezvers/Godot_Public_Examples,branches,4,0.1
55,godot4,12,0,godot,992ad7453568,2024-02-05,2024-05-08,93,4.x,False,godot4,noidexe/godot-version-manager,branches,11,0.1
7,4.x,1,0,godot,992ad7453568,2023-02-09,2023-02-09,0,4.x,False,4.x,acedogblast/Project-Uranium-Godot,branches,1,0.1
8,godot2,0,0,godot,ff0ff0b5bddc,,2015-06-12,,2.x,True,godot2,empyreanx/godot-state-sync-demo,branches,0,0.1
0,godot3,1,0,godot,ff0ff0b5bddc,2025-12-08,2025-12-08,0,3.x,False,godot3,empyreanx/godot-state-sync-demo,branches,1,0.1
4,godot-4.x,14,0,godot,b3ee52f06d1c,2023-05-08,2025-03-29,691,4.x,False,godot-4,bitbrain/godot-tutorials,branches,12,0.1
0,godot4.x,2,0,godot,b3ee52f06d1c,2023-06-06,2024-11-25,538,4.x,False,godot4,BastiaanOlij/vehicle-demo,branches,2,0.1
265,godot4-port,2,0,godot,00ca97745be6,2021-02-26,2021-02-26,0,4.x,False,godot4,unfa/liblast,branches,2,0.1
20,latest-3.x,0,0,godot,00ca97745be6,,2024-05-30,,3.x,True,3.x,roalyr/GDTLancer-legacy,branches,0,0.1
10,godot-4,9,0,godot,899486564155,2023-04-07,2024-01-19,287,4.x,False,godot-4,argosopentech/Conquest,branches,9,0.1
1,godot4,14,0,godot,899486564155,2023-02-13,2023-09-26,225,4.x,False,godot4,Norodix/GodotMirror,branches,14,0.1
59,godot4,3,0,godot,899486564155,2023-07-11,2023-07-22,11,4.x,False,godot4,Novakasa/brickrail,branches,3,0.1
