boundary_sha,deletions,engine,ev_id,files_changed,insertions,pre_bytes,pre_files,pre_gd_files,pre_scene_files,repo_id,schema,scope,v
1d504554202a995d68f5f1246036feafad9579f3,92,godot,0b23021ed5d8,8,58,3018606,438,13,15,touilleMan/godot-python,churn,boundary-commit,0.1
1d504554202a995d68f5f1246036feafad9579f3,4064,godot,0b23021ed5d8,106,8545,2848256,409,13,15,touilleMan/godot-python,churn,window,0.1
494efe16a928aa7f3a455eca66431ed15461833e,1,godot,0b23021ed5d8,1,6,3027581,436,13,15,touilleMan/godot-python,churn,boundary-commit,0.1
494efe16a928aa7f3a455eca66431ed15461833e,745,godot,0b23021ed5d8,50,1132,3017925,438,13,15,touilleMan/godot-python,churn,window,0.1
121bee7bdc0d646fb481f8b6a17d855f192c4e03,30,godot,0b23021ed5d8,6,53,2539476,262,15,19,touilleMan/godot-python,churn,boundary-commit,0.1
121bee7bdc0d646fb481f8b6a17d855f192c4e03,74,godot,0b23021ed5d8,10,275,2534322,262,15,19,touilleMan/godot-python,churn,window,0.1
068aae8c1681f2494b569b3b5c3d5fee125c3795,505,godot,0b23021ed5d8,44,392,1783109,209,13,14,touilleMan/godot-python,churn,boundary-commit,0.1
068aae8c1681f2494b569b3b5c3d5fee125c3795,648,godot,0b23021ed5d8,59,579,1780965,208,13,14,touilleMan/godot-python,churn,window,0.1
ba4e8ec26c9e9e98ee36be80ae70bb00242a1f6d,2091,godot,0b23021ed5d8,123,2188,5175615,314,32,25,git-learning-game/oh-my-git,churn,boundary-commit,0.1
24069a0d78fc047ecdd16b0b018ab5189e385403,370,godot,0b23021ed5d8,10,137,4446783,146,1,3,godot-rust/gdnative,churn,boundary-commit,0.1
24069a0d78fc047ecdd16b0b018ab5189e385403,851,godot,0b23021ed5d8,29,676,4446638,150,1,4,godot-rust/gdnative,churn,window,0.1
24069a0d78fc047ecdd16b0b018ab5189e385403,370,godot,0b23021ed5d8,10,137,4446783,146,1,3,godot-rust/gdnative,churn,boundary-commit,0.1
24069a0d78fc047ecdd16b0b018ab5189e385403,851,godot,0b23021ed5d8,29,676,4446638,150,1,4,godot-rust/gdnative,churn,window,0.1
e77f82b202ea61c679b6f4d9b44904105e5f3d1b,23,godot,0b23021ed5d8,6,88,10297293,791,2,11,godot-rust/gdnative,churn,boundary-commit,0.1
e77f82b202ea61c679b6f4d9b44904105e5f3d1b,107,godot,0b23021ed5d8,598,72479,7266620,230,2,11,godot-rust/gdnative,churn,window,0.1
801c3fa853960255210697b4a085d32ef832ea30,241,godot,0b23021ed5d8,54,348,4581588,363,109,96,gdquest-demos/godot-make-pro-2d-games,churn,boundary-commit,0.1
beb341bbce58b25eb0aacbbe21a1755c97ffabae,445,godot,0b23021ed5d8,6,145,787481,56,8,10,cis-ash/TEXTREME,churn,boundary-commit,0.1
beb341bbce58b25eb0aacbbe21a1755c97ffabae,469,godot,0b23021ed5d8,13,531,782176,49,7,10,cis-ash/TEXTREME,churn,window,0.1
53b1d31fff065fa1d8db5bcd1e073d6c576c0154,5153,godot,0b23021ed5d8,58,5620,15280227,236,87,6,quentincaffeino/godot-console,churn,boundary-commit,0.1
211f192e7b013701954aec1774bddd9c74c09592,795,godot,0b23021ed5d8,57,782,45298583,135,22,12,Arnklit/Waterways,churn,boundary-commit,0.1
8ac53d4c26117bdb8addd26b4a9d1f33dfa86491,15997,godot,6b79220010ab,212,59,1967097,210,40,21,ClarkThyLord/Voxel-Core,churn,boundary-commit,0.1
8ac53d4c26117bdb8addd26b4a9d1f33dfa86491,15773,godot,6b79220010ab,205,59,1960509,203,36,18,ClarkThyLord/Voxel-Core,churn,window,0.1
d0741eb4b5b89fcf24d45ab777bfd43790dfc783,6436,godot,6b79220010ab,39,4193,28172938,121,4,1,jayaarrgh/BookOfShaders-Godot,churn,boundary-commit,0.1
adf9a90467a7c1b2a02333a61765fe78184c2d73,9594,godot,6b79220010ab,266,11956,8918818,697,158,24,ephread/inkgd,churn,boundary-commit,0.1
adf9a90467a7c1b2a02333a61765fe78184c2d73,9882,godot,6b79220010ab,443,12627,8906700,688,158,24,ephread/inkgd,churn,window,0.1
454797df723da1afb160231a4bafefd3c6a4c11c,3691,godot,6b79220010ab,113,3375,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
74ee06b74c5e397a8e86f3c663880d2579e2d3cf,7984,godot,6b79220010ab,78,2584,27244189,1129,152,97,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
74ee06b74c5e397a8e86f3c663880d2579e2d3cf,12189,godot,6b79220010ab,211,6262,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
e88649b9ec5a9b83d0e415520816ac9036eb52ae,2168,godot,6b79220010ab,82,2436,27102597,1106,136,97,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
e88649b9ec5a9b83d0e415520816ac9036eb52ae,14357,godot,6b79220010ab,293,8698,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
5ca1f4b486a821e076c2e106a2f53c7ce484f0e3,2693,godot,6b79220010ab,70,724,26665466,1078,133,96,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
5ca1f4b486a821e076c2e106a2f53c7ce484f0e3,17829,godot,6b79220010ab,378,9382,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
bec7944fb8aa0a56a44bbcaa915cc809dcf670df,2905,godot,6b79220010ab,81,1250,26348834,1052,117,93,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
bec7944fb8aa0a56a44bbcaa915cc809dcf670df,20734,godot,6b79220010ab,459,10632,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
82d8b8deb50a030b80dedab9dc50ef532f1b3840,2616,godot,6b79220010ab,109,1801,26303157,1036,102,92,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
82d8b8deb50a030b80dedab9dc50ef532f1b3840,23350,godot,6b79220010ab,568,12433,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
2637d2e0e2708fb51be42c756528b297c2bc4595,2728,godot,6b79220010ab,120,3098,26285522,1032,92,91,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
2637d2e0e2708fb51be42c756528b297c2bc4595,26091,godot,6b79220010ab,682,15544,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
d5656ea070e1e8c356a2a499b9164cf78bc4ec76,2566,godot,6b79220010ab,60,2381,26312294,1044,91,90,gdquest-demos/godot-3-demos-2022,churn,boundary-commit,0.1
d5656ea070e1e8c356a2a499b9164cf78bc4ec76,28657,godot,6b79220010ab,742,17925,27260414,1130,154,98,gdquest-demos/godot-3-demos-2022,churn,window,0.1
3dca42777587d383731bc936358c2043a92ecf95,85,godot,6b79220010ab,8,150,62469642,321,30,63,GDQuest/godot-power-pitch,churn,boundary-commit,0.1
3dca42777587d383731bc936358c2043a92ecf95,87,godot,6b79220010ab,8,152,62469642,321,30,63,GDQuest/godot-power-pitch,churn,window,0.1
1380392998d677b0b8ba6ac7eeb839da344cb38b,651,godot,6b79220010ab,227,1232,54053324,554,0,22,getenu/enu,churn,boundary-commit,0.1
1380392998d677b0b8ba6ac7eeb839da344cb38b,662,godot,6b79220010ab,310,2680,51925511,477,0,19,getenu/enu,churn,window,0.1
42d4bc19797f5f973c67c00e9fabc8d2fe89e23b,14382,godot,6b79220010ab,201,359997,51929302,478,0,19,getenu/enu,churn,boundary-commit,0.1
ab00dda1db226e8ea3d98027179d680c6464c0cb,188,godot,99f27a7aa280,7,366,38317024,20,3,3,hiulit/Godot-3-2D-Day-Night-Cycle,churn,boundary-commit,0.1
85b30459b848bd578ac28cf4ab8c8d27e1fc2df6,156,godot,99f27a7aa280,4,41,18508023,487,29,29,wesnoth/haldric,churn,boundary-commit,0.1
213515ca6603d6f864810c2f05136fa316fa7cc3,13547,godot,99f27a7aa280,498,148,18508023,487,29,29,wesnoth/haldric,churn,boundary-commit,0.1
1cf2ffd8cc86242d9641cba1792a4c5c39e1139a,1328,godot,99f27a7aa280,45,325,32655984,259,69,33,Bauxitedev/meteorite,churn,boundary-commit,0.1
71470acebe67105a550ab15c17fc7f20a3e626e9,5465,godot,99f27a7aa280,1035,8019,66673947,765,92,166,HarmonyHoney/ROTA,churn,boundary-commit,0.1
71470acebe67105a550ab15c17fc7f20a3e626e9,5468,godot,99f27a7aa280,1043,11354,66473970,759,92,166,HarmonyHoney/ROTA,churn,window,0.1
c74136fd64eef3d04d0bea912a66deba5d1fe377,180,godot,99f27a7aa280,8,71,97979836,198,70,23,rakugoteam/Rakugo-archive,churn,boundary-commit,0.1
c74136fd64eef3d04d0bea912a66deba5d1fe377,567,godot,99f27a7aa280,30,504,97996393,198,70,23,rakugoteam/Rakugo-archive,churn,window,0.1
89e5bd4b09f631a3ce29c0052c2a2df60b870095,199,godot,a92cdee694a6,8,64,45883,18,3,1,henriquelalves/GodotTIE,churn,boundary-commit,0.1
89e5bd4b09f631a3ce29c0052c2a2df60b870095,206,godot,a92cdee694a6,10,83,46128,18,3,1,henriquelalves/GodotTIE,churn,window,0.1
41267eab3cd0b1c32d508ce589c6ad2f5630e327,17,godot,a92cdee694a6,7,29,8334155,42,3,5,GodotVR/godot_openxr_for_godot_3.x,churn,boundary-commit,0.1
41267eab3cd0b1c32d508ce589c6ad2f5630e327,13,godot,a92cdee694a6,10,29,8207746,41,3,5,GodotVR/godot_openxr_for_godot_3.x,churn,window,0.1
7b2f051ac786823c226120dfd578bfcea21c0c3e,2465,godot,a92cdee694a6,107,538,6742639,266,3,18,utopia-rise/godot-kotlin-native,churn,boundary-commit,0.1
7b2f051ac786823c226120dfd578bfcea21c0c3e,99493,godot,a92cdee694a6,640,511,10297529,792,3,18,utopia-rise/godot-kotlin-native,churn,window,0.1
dcb21be6c122353821c8de44bccbb65be8129403,886,godot,992ad7453568,169,2733,8721693,186,41,57,HarmonyHoney/tiny_crate,churn,boundary-commit,0.1
dcb21be6c122353821c8de44bccbb65be8129403,3604,godot,992ad7453568,199,2733,8823685,216,55,66,HarmonyHoney/tiny_crate,churn,window,0.1
a91e17aeabc297664e66d9182e9b28ab815259e4,788,godot,992ad7453568,170,2883,1018338,61,12,2,noidexe/godot-version-manager,churn,boundary-commit,0.1
a91e17aeabc297664e66d9182e9b28ab815259e4,791,godot,992ad7453568,170,2921,1016926,61,12,2,noidexe/godot-version-manager,churn,window,0.1
d761d281fcd129fa3ddfdaabd4af09e9b2d10187,181,godot,992ad7453568,5,16,216194,33,18,3,romlok/godot-gdhexgrid,churn,boundary-commit,0.1
2263f7be822ecf8ec7b624ef11fcb8d39a54ae2c,423,godot,992ad7453568,15,421,402575,51,15,14,acedogblast/Project-Uranium-Godot,churn,boundary-commit,0.1
461966de63463975970d3f79618c5a889eac225f,62515,godot,992ad7453568,299,12025,15104151,531,257,65,acedogblast/Project-Uranium-Godot,churn,boundary-commit,0.1
d088d2cfdfcc7c4a2f95bf749740d55289eb4860,6413,godot,992ad7453568,310,5020,78328096,612,38,22,Rhythia/sound-space-plus,churn,boundary-commit,0.1
d088d2cfdfcc7c4a2f95bf749740d55289eb4860,67286,godot,992ad7453568,1092,250332,127989802,883,245,63,Rhythia/sound-space-plus,churn,window,0.1
33866870c78fb5fbfcdc0b3ca2a8d2f7c0a4a09a,2,godot,ff0ff0b5bddc,12,300,42783,12,0,1,spkingr/Godot-Demos,churn,boundary-commit,0.1
33866870c78fb5fbfcdc0b3ca2a8d2f7c0a4a09a,0,godot,ff0ff0b5bddc,22,672,0,0,0,0,spkingr/Godot-Demos,churn,window,0.1
6f80a18a52bdfc8e8750c7b347ab9f0d189c9f83,381,godot,ff0ff0b5bddc,8,28,1765618,14,1,2,Bauxitedev/godot-motion-blur,churn,boundary-commit,0.1
6f80a18a52bdfc8e8750c7b347ab9f0d189c9f83,383,godot,ff0ff0b5bddc,8,30,1765616,14,1,2,Bauxitedev/godot-motion-blur,churn,window,0.1
7a775fdf752ae03780cfbb68b4a31f5aab3eb212,495,godot,ff0ff0b5bddc,19,242,2589113,32,2,1,JaccomoLorenz/godot-camera-control,churn,boundary-commit,0.1
094ae293b27b0eb9b9bd2efcb5b0d208537100b2,119,godot,ff0ff0b5bddc,5,62,12946356,38,8,3,Bauxitedev/godot-texture-painter,churn,boundary-commit,0.1
094ae293b27b0eb9b9bd2efcb5b0d208537100b2,0,godot,ff0ff0b5bddc,38,27805,0,0,0,0,Bauxitedev/godot-texture-painter,churn,window,0.1
7a212adff5b83ea5a26947698eb62277ca142329,526,godot,ff0ff0b5bddc,8,14521,6843869,34,6,2,Bauxitedev/godot-texture-painter,churn,boundary-commit,0.1
7a212adff5b83ea5a26947698eb62277ca142329,0,godot,ff0ff0b5bddc,38,27862,0,0,0,0,Bauxitedev/godot-texture-painter,churn,window,0.1
af95fcd74dc79222817b0e78294b529baac72ad5,4575,godot,ff0ff0b5bddc,18,169,12651957,58,18,4,Bauxitedev/godot-texture-painter,churn,boundary-commit,0.1
d5433aaf4b4424aa06c8fea5ae136f81be0f850a,315,godot,ff0ff0b5bddc,6,293,18928,13,2,2,empyreanx/godot-state-sync-demo,churn,boundary-commit,0.1
e70f893e6c6b39465f363ea2ddcf46b7b53c5280,4325,godot,ff0ff0b5bddc,208,4326,27100354,565,168,54,mayank-prasoon/world-maker,churn,boundary-commit,0.1
e70f893e6c6b39465f363ea2ddcf46b7b53c5280,4342,godot,ff0ff0b5bddc,562,4340,27100306,565,168,54,mayank-prasoon/world-maker,churn,window,0.1
40445614bd9a5959945846433f1fb207f61fd077,56,godot,b3ee52f06d1c,16,263,5570756,63,4,3,BastiaanOlij/vehicle-demo,churn,boundary-commit,0.1
39b464b6aa1c2f73d11eb1b0b47994b1cd71b889,17373,godot,b3ee52f06d1c,267,3477,370544275,402,45,38,BastiaanOlij/vehicle-demo,churn,boundary-commit,0.1
1b122deaa954cdc0202174597a58e24dc50ea352,218,godot,00ca97745be6,63,253,862944,124,31,19,arypbatista/godot-swipe-detector,churn,boundary-commit,0.1
1b122deaa954cdc0202174597a58e24dc50ea352,107,godot,00ca97745be6,63,405,855908,122,30,18,arypbatista/godot-swipe-detector,churn,window,0.1
ffa72cae875405b6b1a999b4ae08cce007d93711,4179,godot,899486564155,537,5042,11682723,353,40,72,argosopentech/Conquest,churn,boundary-commit,0.1
ffa72cae875405b6b1a999b4ae08cce007d93711,4184,godot,899486564155,537,5052,11682577,353,40,72,argosopentech/Conquest,churn,window,0.1
1d0ac3087ff25e4c2dfd6d03d6315683fce0ec32,94,godot,899486564155,9,86,98721,21,3,2,Norodix/GodotMirror,churn,boundary-commit,0.1
