authors_total,boundary_sha,censor_on,commits_total,days_since_old_line_release,dormant_days,duration_days,engine,event,event_on,lag_releases,last_activity_on,latest_stable_at_end,origin_on,origin_rule,repo_id,schema,still_supported,stratum,v
7,,2026-08-26,124,4,61,1274,godot,0,,7,2026-06-26,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-4-procedural-generation,lag_observations,True,demo,0.1
7,,2026-08-26,124,4,61,1441,godot,0,,8,2026-06-26,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-4-procedural-generation,lag_observations,True,demo,0.1
96,,2026-08-26,1978,4,1,1274,godot,0,,7,2026-08-25,4.7.2,2023-03-01,4.0-stable,drwhut/tabletop-club,lag_observations,True,game,0.1
96,,2026-08-26,1978,4,1,1441,godot,0,,8,2026-08-25,4.7.2,2022-09-15,4.0-beta1,drwhut/tabletop-club,lag_observations,True,game,0.1
22,,2026-08-26,1794,4,1467,1274,godot,0,,7,2022-08-20,4.7.2,2023-03-01,4.0-stable,touilleMan/godot-python,lag_observations,True,game,0.1
22,,2026-08-26,1794,4,1467,1441,godot,0,,8,2022-08-20,4.7.2,2022-09-15,4.0-beta1,touilleMan/godot-python,lag_observations,True,game,0.1
30,,2026-08-26,528,4,267,1274,godot,0,,7,2025-12-02,4.7.2,2023-03-01,4.0-stable,git-learning-game/oh-my-git,lag_observations,True,learning-material,0.1
30,,2026-08-26,528,4,267,1441,godot,0,,8,2025-12-02,4.7.2,2022-09-15,4.0-beta1,git-learning-game/oh-my-git,lag_observations,True,learning-material,0.1
86,,2026-08-26,1435,4,238,1274,godot,0,,7,2025-12-31,4.7.2,2023-03-01,4.0-stable,godot-rust/gdnative,lag_observations,True,library,0.1
86,,2026-08-26,1435,4,238,1441,godot,0,,8,2025-12-31,4.7.2,2022-09-15,4.0-beta1,godot-rust/gdnative,lag_observations,True,library,0.1
12,,2026-08-26,1038,4,463,1274,godot,0,,7,2025-05-20,4.7.2,2023-03-01,4.0-stable,db0/godot-card-game-framework,lag_observations,True,library,0.1
12,,2026-08-26,1038,4,463,1441,godot,0,,8,2025-05-20,4.7.2,2022-09-15,4.0-beta1,db0/godot-card-game-framework,lag_observations,True,library,0.1
125,,2026-08-26,587,4,514,1274,godot,0,,7,2025-03-30,4.7.2,2023-03-01,4.0-stable,a-little-org-called-mario/a-little-game-called-mario,lag_observations,True,game,0.1
125,,2026-08-26,587,4,514,1441,godot,0,,8,2025-03-30,4.7.2,2022-09-15,4.0-beta1,a-little-org-called-mario/a-little-game-called-mario,lag_observations,True,game,0.1
25,,2026-08-26,170,4,1431,1274,godot,0,,7,2022-09-25,4.7.2,2023-03-01,4.0-stable,godot-extended-libraries/godot-next,lag_observations,True,addon,0.1
25,,2026-08-26,170,4,1431,1441,godot,0,,8,2022-09-25,4.7.2,2022-09-15,4.0-beta1,godot-extended-libraries/godot-next,lag_observations,True,addon,0.1
4,,2026-08-26,248,4,1124,1274,godot,0,,7,2023-07-29,4.7.2,2023-03-01,4.0-stable,alfredbaudisch/Godello,lag_observations,True,game,0.1
4,,2026-08-26,248,4,1124,1441,godot,0,,8,2023-07-29,4.7.2,2022-09-15,4.0-beta1,alfredbaudisch/Godello,lag_observations,True,game,0.1
7,,2026-08-26,135,4,2438,1274,godot,0,,7,2019-12-23,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-make-pro-2d-games,lag_observations,True,game,0.1
7,,2026-08-26,135,4,2438,1441,godot,0,,8,2019-12-23,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-make-pro-2d-games,lag_observations,True,game,0.1
10,,2026-08-26,360,4,2010,1274,godot,0,,7,2021-02-23,4.7.2,2023-03-01,4.0-stable,gdquest-demos/godot-platformer-2d,lag_observations,True,game,0.1
10,,2026-08-26,360,4,2010,1441,godot,0,,8,2021-02-23,4.7.2,2022-09-15,4.0-beta1,gdquest-demos/godot-platformer-2d,lag_observations,True,game,0.1
9,,2026-08-26,58,4,1655,1274,godot,0,,7,2022-02-13,4.7.2,2023-03-01,4.0-stable,cis-ash/TEXTREME,lag_observations,True,game,0.1
9,,2026-08-26,58,4,1655,1441,godot,0,,8,2022-02-13,4.7.2,2022-09-15,4.0-beta1,cis-ash/TEXTREME,lag_observations,True,game,0.1
1,,2026-08-26,29,4,2294,1274,godot,0,,7,2020-05-15,4.7.2,2023-03-01,4.0-stable,uheartbeast/youtube-tutorials,lag_observations,True,learning-material,0.1
1,,2026-08-26,29,4,2294,1441,godot,0,,8,2020-05-15,4.7.2,2022-09-15,4.0-beta1,uheartbeast/youtube-tutorials,lag_observations,True,learning-material,0.1
36,,2026-08-26,496,4,1319,1274,godot,0,,7,2023-01-15,4.7.2,2023-03-01,4.0-stable,loudsmilestudios/TetraForce,lag_observations,True,game,0.1
36,,2026-08-26,496,4,1319,1441,godot,0,,8,2023-01-15,4.7.2,2022-09-15,4.0-beta1,loudsmilestudios/TetraForce,lag_observations,True,game,0.1
20,,2026-08-26,342,4,1305,1274,godot,0,,7,2023-01-29,4.7.2,2023-03-01,4.0-stable,quentincaffeino/godot-console,lag_observations,True,addon,0.1
20,,2026-08-26,342,4,1305,1441,godot,0,,8,2023-01-29,4.7.2,2022-09-15,4.0-beta1,quentincaffeino/godot-console,lag_observations,True,addon,0.1
8,,2026-08-26,172,4,1465,1274,godot,0,,7,2022-08-22,4.7.2,2023-03-01,4.0-stable,Arnklit/Waterways,lag_observations,True,addon,0.1
8,,2026-08-26,172,4,1465,1441,godot,0,,8,2022-08-22,4.7.2,2022-09-15,4.0-beta1,Arnklit/Waterways,lag_observations,True,addon,0.1
22,,2026-08-26,169,4,678,1274,godot,0,,7,2024-10-17,4.7.2,2023-03-01,4.0-stable,Shin-NiL/Godot-Android-Admob-Plugin,lag_observations,True,addon,0.1
22,,2026-08-26,169,4,678,1441,godot,0,,8,2024-10-17,4.7.2,2022-09-15,4.0-beta1,Shin-NiL/Godot-Android-Admob-Plugin,lag_observations,True,addon,0.1
8,,2026-08-26,106,4,857,1274,godot,0,,7,2024-04-21,4.7.2,2023-03-01,4.0-stable,lawnjelly/smoothing-addon,lag_observations,True,addon,0.1
8,,2026-08-26,106,4,857,1441,godot,0,,8,2024-04-21,4.7.2,2022-09-15,4.0-beta1,lawnjelly/smoothing-addon,lag_observations,True,addon,0.1
1,,2026-08-26,63,4,1958,1274,godot,0,,7,2021-04-16,4.7.2,2023-03-01,4.0-stable,Bauxitedev/bitmapflow,lag_observations,True,tool,0.1
1,,2026-08-26,63,4,1958,1441,godot,0,,8,2021-04-16,4.7.2,2022-09-15,4.0-beta1,Bauxitedev/bitmapflow,lag_observations,True,tool,0.1
