boundary_sha,commits,end_on,end_sha,engine,ev_id,repo_id,saturated,schema,span_days,start_on,start_sha,v,window_rule
1d504554202a995d68f5f1246036feafad9579f3,143,2019-12-16,1d504554202a995d68f5f1246036feafad9579f3,godot,0b23021ed5d8,touilleMan/godot-python,,migration_windows,33,2019-11-12,aaa02aa14e33ac86d7098487730c851b756d9fff,0.1,commit-burst
494efe16a928aa7f3a455eca66431ed15461833e,19,2020-01-25,494efe16a928aa7f3a455eca66431ed15461833e,godot,0b23021ed5d8,touilleMan/godot-python,,migration_windows,4,2020-01-21,56d6b477bb7f5fd8c3adcd750515eca72b813b2b,0.1,commit-burst
121bee7bdc0d646fb481f8b6a17d855f192c4e03,3,2022-03-27,121bee7bdc0d646fb481f8b6a17d855f192c4e03,godot,0b23021ed5d8,touilleMan/godot-python,,migration_windows,0,2022-03-27,ddb9c82a9ecfe65db4f39ca407d7ab24bd2b4459,0.1,commit-burst
068aae8c1681f2494b569b3b5c3d5fee125c3795,4,2026-01-25,068aae8c1681f2494b569b3b5c3d5fee125c3795,godot,0b23021ed5d8,touilleMan/godot-python,,migration_windows,0,2026-01-25,f7d1d6d6658de197516bbf2ee7122ce86a7feba6,0.1,commit-burst
ba4e8ec26c9e9e98ee36be80ae70bb00242a1f6d,1,2023-09-06,ba4e8ec26c9e9e98ee36be80ae70bb00242a1f6d,godot,0b23021ed5d8,git-learning-game/oh-my-git,,migration_windows,0,2023-09-06,ba4e8ec26c9e9e98ee36be80ae70bb00242a1f6d,0.1,single-commit
24069a0d78fc047ecdd16b0b018ab5189e385403,4,2019-03-16,24069a0d78fc047ecdd16b0b018ab5189e385403,godot,0b23021ed5d8,godot-rust/gdnative,,migration_windows,0,2019-03-15,7fb46453ffc9d90a027c8dd698e5d86c87a796b9,0.1,commit-burst
24069a0d78fc047ecdd16b0b018ab5189e385403,4,2019-03-16,24069a0d78fc047ecdd16b0b018ab5189e385403,godot,0b23021ed5d8,godot-rust/gdnative,,migration_windows,0,2019-03-15,7fb46453ffc9d90a027c8dd698e5d86c87a796b9,0.1,commit-burst
e77f82b202ea61c679b6f4d9b44904105e5f3d1b,19,2020-10-10,e77f82b202ea61c679b6f4d9b44904105e5f3d1b,godot,0b23021ed5d8,godot-rust/gdnative,span,migration_windows,58,2020-08-12,b1cdadd35d13db75e6e98bda862e6e94ad1d481f,0.1,commit-burst
801c3fa853960255210697b4a085d32ef832ea30,1,2019-03-28,801c3fa853960255210697b4a085d32ef832ea30,godot,0b23021ed5d8,gdquest-demos/godot-make-pro-2d-games,,migration_windows,0,2019-03-28,801c3fa853960255210697b4a085d32ef832ea30,0.1,single-commit
beb341bbce58b25eb0aacbbe21a1755c97ffabae,7,2019-09-14,beb341bbce58b25eb0aacbbe21a1755c97ffabae,godot,0b23021ed5d8,cis-ash/TEXTREME,,migration_windows,6,2019-09-08,56917fd1386c113f64484f973fecaa3a783cbbe5,0.1,commit-burst
53b1d31fff065fa1d8db5bcd1e073d6c576c0154,1,2022-05-18,53b1d31fff065fa1d8db5bcd1e073d6c576c0154,godot,0b23021ed5d8,quentincaffeino/godot-console,,migration_windows,0,2022-05-18,53b1d31fff065fa1d8db5bcd1e073d6c576c0154,0.1,single-commit
211f192e7b013701954aec1774bddd9c74c09592,1,2022-08-18,211f192e7b013701954aec1774bddd9c74c09592,godot,0b23021ed5d8,Arnklit/Waterways,,migration_windows,0,2022-08-18,211f192e7b013701954aec1774bddd9c74c09592,0.1,single-commit
8ac53d4c26117bdb8addd26b4a9d1f33dfa86491,2,2022-10-19,8ac53d4c26117bdb8addd26b4a9d1f33dfa86491,godot,6b79220010ab,ClarkThyLord/Voxel-Core,,migration_windows,0,2022-10-19,6d991b2b16d5a1cf3ed25eabba0bc13ca4beeb8c,0.1,commit-burst
d0741eb4b5b89fcf24d45ab777bfd43790dfc783,1,2024-07-04,d0741eb4b5b89fcf24d45ab777bfd43790dfc783,godot,6b79220010ab,jayaarrgh/BookOfShaders-Godot,,migration_windows,0,2024-07-04,d0741eb4b5b89fcf24d45ab777bfd43790dfc783,0.1,single-commit
adf9a90467a7c1b2a02333a61765fe78184c2d73,3,2023-08-29,adf9a90467a7c1b2a02333a61765fe78184c2d73,godot,6b79220010ab,ephread/inkgd,,migration_windows,0,2023-08-28,35df3c282855ce360e4dc411dac514cae4c783f8,0.1,commit-burst
454797df723da1afb160231a4bafefd3c6a4c11c,1,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,0,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,single-commit
74ee06b74c5e397a8e86f3c663880d2579e2d3cf,3,2025-09-24,74ee06b74c5e397a8e86f3c663880d2579e2d3cf,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,1,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
e88649b9ec5a9b83d0e415520816ac9036eb52ae,4,2025-09-24,e88649b9ec5a9b83d0e415520816ac9036eb52ae,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,1,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
5ca1f4b486a821e076c2e106a2f53c7ce484f0e3,6,2025-09-25,5ca1f4b486a821e076c2e106a2f53c7ce484f0e3,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,2,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
bec7944fb8aa0a56a44bbcaa915cc809dcf670df,7,2025-09-25,bec7944fb8aa0a56a44bbcaa915cc809dcf670df,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,2,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
82d8b8deb50a030b80dedab9dc50ef532f1b3840,8,2025-09-25,82d8b8deb50a030b80dedab9dc50ef532f1b3840,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,2,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
2637d2e0e2708fb51be42c756528b297c2bc4595,9,2025-09-25,2637d2e0e2708fb51be42c756528b297c2bc4595,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,2,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
d5656ea070e1e8c356a2a499b9164cf78bc4ec76,10,2025-09-25,d5656ea070e1e8c356a2a499b9164cf78bc4ec76,godot,6b79220010ab,gdquest-demos/godot-3-demos-2022,,migration_windows,2,2025-09-22,454797df723da1afb160231a4bafefd3c6a4c11c,0.1,commit-burst
3dca42777587d383731bc936358c2043a92ecf95,2,2019-01-24,3dca42777587d383731bc936358c2043a92ecf95,godot,6b79220010ab,GDQuest/godot-power-pitch,,migration_windows,7,2019-01-16,e2246a28a4d299ed42be585bab8224f455b30f61,0.1,commit-burst
1380392998d677b0b8ba6ac7eeb839da344cb38b,10,2025-08-26,1380392998d677b0b8ba6ac7eeb839da344cb38b,godot,6b79220010ab,getenu/enu,,migration_windows,1,2025-08-25,2105587b3a96d0954ec2cbfe25732bf5f253e954,0.1,commit-burst
42d4bc19797f5f973c67c00e9fabc8d2fe89e23b,1,2025-10-01,42d4bc19797f5f973c67c00e9fabc8d2fe89e23b,godot,6b79220010ab,getenu/enu,,migration_windows,0,2025-10-01,42d4bc19797f5f973c67c00e9fabc8d2fe89e23b,0.1,single-commit
ab00dda1db226e8ea3d98027179d680c6464c0cb,1,2019-09-03,ab00dda1db226e8ea3d98027179d680c6464c0cb,godot,99f27a7aa280,hiulit/Godot-3-2D-Day-Night-Cycle,,migration_windows,0,2019-09-03,ab00dda1db226e8ea3d98027179d680c6464c0cb,0.1,single-commit
85b30459b848bd578ac28cf4ab8c8d27e1fc2df6,1,2019-02-17,85b30459b848bd578ac28cf4ab8c8d27e1fc2df6,godot,99f27a7aa280,wesnoth/haldric,,migration_windows,0,2019-02-17,85b30459b848bd578ac28cf4ab8c8d27e1fc2df6,0.1,single-commit
213515ca6603d6f864810c2f05136fa316fa7cc3,1,2019-02-17,213515ca6603d6f864810c2f05136fa316fa7cc3,godot,99f27a7aa280,wesnoth/haldric,,migration_windows,0,2019-02-17,213515ca6603d6f864810c2f05136fa316fa7cc3,0.1,single-commit
1cf2ffd8cc86242d9641cba1792a4c5c39e1139a,1,2023-10-03,1cf2ffd8cc86242d9641cba1792a4c5c39e1139a,godot,99f27a7aa280,Bauxitedev/meteorite,,migration_windows,0,2023-10-03,1cf2ffd8cc86242d9641cba1792a4c5c39e1139a,0.1,single-commit
71470acebe67105a550ab15c17fc7f20a3e626e9,5,2025-02-26,71470acebe67105a550ab15c17fc7f20a3e626e9,godot,99f27a7aa280,HarmonyHoney/ROTA,,migration_windows,8,2025-02-18,998dbd67f8ef499f6b9ddc25a32493ca170aef75,0.1,commit-burst
c74136fd64eef3d04d0bea912a66deba5d1fe377,4,2019-01-10,c74136fd64eef3d04d0bea912a66deba5d1fe377,godot,99f27a7aa280,rakugoteam/Rakugo-archive,,migration_windows,3,2019-01-07,77ab706cc392c7d4e948013d5d380925012c279e,0.1,commit-burst
