channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
stable,published_at,godotengine/godot,godot,220661a691a4,True,1.x,1.0,2014-12-17,releases,1.0-stable,0.1,1.0
stable,published_at,godotengine/godot,godot,220661a691a4,True,1.x,1.1,2015-05-21,releases,1.1-stable,0.1,1.1
stable,published_at,godotengine/godot,godot,220661a691a4,True,2.x,2.0,2016-02-23,releases,2.0-stable,0.1,2.0
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.0,2016-05-13,releases,2.0.1-stable,0.1,2.0.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.0,2016-05-13,releases,2.0.2-stable,0.1,2.0.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.0,2016-05-13,releases,2.0.3-stable,0.1,2.0.3
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.0,2016-07-13,releases,2.0.4.1-stable,0.1,2.0.4.1
stable,published_at,godotengine/godot,godot,220661a691a4,True,2.x,2.1,2016-08-09,releases,2.1-stable,0.1,2.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.1,2016-11-17,releases,2.1.1-stable,0.1,2.1.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.1,2017-01-22,releases,2.1.2-stable,0.1,2.1.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.1,2017-04-12,releases,2.1.3-stable,0.1,2.1.3
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.1,2017-08-27,releases,2.1.4-stable,0.1,2.1.4
stable,published_at,godotengine/godot,godot,220661a691a4,True,3.x,3.0,2018-03-04,releases,3.0-stable,0.1,3.0
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.0,2018-03-04,releases,3.0.1-stable,0.1,3.0.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.0,2018-03-04,releases,3.0.2-stable,0.1,3.0.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.0,2018-05-02,releases,3.0.3-rc1,0.1,3.0.3
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.0,2018-05-14,releases,3.0.3-rc2,0.1,3.0.3
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.0,2018-06-02,releases,3.0.3-rc3,0.1,3.0.3
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.0,2018-06-14,releases,3.0.3-stable,0.1,3.0.3
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.0,2018-07-09,releases,3.0.5-stable,0.1,3.0.5
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.1,2018-08-30,releases,2.1.5-stable,0.1,2.1.5
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.0,2018-08-30,releases,3.0.4-stable,0.1,3.0.4
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.0,2018-08-30,releases,3.0.6-stable,0.1,3.0.6
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2018-08-31,releases,3.1-alpha1,0.1,3.1
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2018-11-02,releases,3.1-alpha2,0.1,3.1
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2018-12-11,releases,3.1-alpha3,0.1,3.1
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2018-12-22,releases,3.1-alpha4,0.1,3.1
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-01-02,releases,3.1-alpha5,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-01-08,releases,3.1-beta1,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-01-18,releases,3.1-beta2,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-01-27,releases,3.1-beta3,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-02-12,releases,3.1-beta4,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-02-17,releases,3.1-beta5,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-02-22,releases,3.1-beta6,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-02-24,releases,3.1-beta7,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-02-26,releases,3.1-beta8,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-02-28,releases,3.1-beta9,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-03-02,releases,3.1-beta10,0.1,3.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-03-05,releases,3.1-beta11,0.1,3.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-03-08,releases,3.1-rc1,0.1,3.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-03-11,releases,3.1-rc2,0.1,3.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-03-12,releases,3.1-rc3,0.1,3.1
stable,published_at,godotengine/godot,godot,220661a691a4,True,3.x,3.1,2019-04-01,releases,3.1-stable,0.1,3.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-04-23,releases,3.1.1-rc1,0.1,3.1.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,2.x,2.1,2019-06-04,releases,2.1.6-rc1,0.1,2.1.6
stable,published_at,godotengine/godot,godot,220661a691a4,False,2.x,2.1,2019-07-11,releases,2.1.6-stable,0.1,2.1.6
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.1,2019-07-11,releases,3.1.1-stable,0.1,3.1.1
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-10-06,releases,3.2-alpha1,0.1,3.2
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-10-11,releases,3.2-alpha2,0.1,3.2
alpha,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-10-24,releases,3.2-alpha3,0.1,3.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-11-06,releases,3.2-beta1,0.1,3.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.1,2019-11-13,releases,3.1.2-rc1,0.1,3.1.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-11-22,releases,3.2-beta2,0.1,3.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.1,2019-12-03,releases,3.1.2-stable,0.1,3.1.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-12-04,releases,3.2-beta3,0.1,3.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2019-12-18,releases,3.2-beta4,0.1,3.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-01-03,releases,3.2-beta5,0.1,3.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-01-11,releases,3.2-beta6,0.1,3.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-01-17,releases,3.2-rc1,0.1,3.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-01-20,releases,3.2-rc2,0.1,3.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-01-24,releases,3.2-rc3,0.1,3.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-01-27,releases,3.2-rc4,0.1,3.2
stable,published_at,godotengine/godot,godot,220661a691a4,True,3.x,3.2,2020-01-29,releases,3.2-stable,0.1,3.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.2,2020-02-20,releases,3.2.1-rc1,0.1,3.2.1
