authors_total,commits_default,commits_total,default_branch,default_branch_line,default_branch_names_version,engine,ev_id,first_commit_on,head_sha,last_commit_on,repo_id,schema,v
7,124,124,master,,,godot,0b23021ed5d8,2020-06-02,19c98cee16ed18e642b3ce178f4c649d56b334b2,2026-06-26,gdquest-demos/godot-4-procedural-generation,repo_history,0.1
96,1640,1978,master,,,godot,0b23021ed5d8,2020-06-27,e07f79292f1accba74f459169eb2e08f7b56fecb,2026-08-25,drwhut/tabletop-club,repo_history,0.1
22,1178,1794,master,,,godot,0b23021ed5d8,2016-09-16,b9757da859a4d9fae86c330224881738d6b97392,2022-08-20,touilleMan/godot-python,repo_history,0.1
30,491,528,main,,,godot,0b23021ed5d8,2020-01-29,cfa2625dbd09b50e3108bb9119f2d3b3043fb1b3,2025-12-02,git-learning-game/oh-my-git,repo_history,0.1
86,1414,1435,master,,,godot,0b23021ed5d8,2017-04-11,2cc150a99468c5d811a36c648d5bcd2414031efd,2025-12-31,godot-rust/gdnative,repo_history,0.1
12,980,1038,main,,,godot,0b23021ed5d8,2020-10-27,f3ca9afd9705ff895839253fad208360d2f45146,2025-05-20,db0/godot-card-game-framework,repo_history,0.1
125,579,587,main,,,godot,0b23021ed5d8,2022-03-27,99dc1a6127efeb4f8a99f8df778d9ff86185abda,2025-03-30,a-little-org-called-mario/a-little-game-called-mario,repo_history,0.1
25,159,170,master,,,godot,0b23021ed5d8,2017-08-30,4ac438abe5b4e69463834bb87162f69700102504,2022-09-25,godot-extended-libraries/godot-next,repo_history,0.1
4,135,248,master,,,godot,0b23021ed5d8,2020-05-02,4458a143644fbadec23ae0cee99578ad3b811eb8,2023-07-29,alfredbaudisch/Godello,repo_history,0.1
7,135,135,master,,,godot,0b23021ed5d8,2018-10-07,7290681309ffcd700c2c08a8e59a57bfbec14d5e,2019-12-23,gdquest-demos/godot-make-pro-2d-games,repo_history,0.1
