coder,confidence,engine,ev_id,method,repo_id,schema,stratum,v
rule-v0.1,0.75,godot,0cfbbc9f83c5,rule,tfelix/bestia-behemoth,strata,game,0.1
rule-v0.1,0.45,godot,0cfbbc9f83c5,rule,adrianmg/tinynoid,strata,game,0.1
rule-v0.1,0.75,godot,0cfbbc9f83c5,rule,absolve/godotgame,strata,game,0.1
rule-v0.1,0.8,godot,0cfbbc9f83c5,rule,anokta/barelymusician,strata,addon,0.1
rule-v0.1,0.75,godot,0cfbbc9f83c5,rule,liangxiegame/QFramework,strata,addon,0.1
rule-v0.1,0.75,godot,0cfbbc9f83c5,rule,abhishekkr/godot-samples,strata,demo,0.1
rule-v0.1,0.45,godot,0cfbbc9f83c5,rule,abarichello/godot-ci,strata,game,0.1
rule-v0.1,0.8,godot,0cfbbc9f83c5,rule,quentincaffeino/godot-console,strata,addon,0.1
rule-v0.1,0.75,godot,0cfbbc9f83c5,rule,bitwes/Gut,strata,tool,0.1
rule-v0.1,0.45,godot,0cfbbc9f83c5,rule,boku-ilen/landscapelab,strata,game,0.1
rule-v0.1,0.75,godot,0cfbbc9f83c5,rule,SirRamEsq/SmartShape2D,strata,addon,0.1
rule-v0.1,0.65,godot,0cfbbc9f83c5,rule,GodotVR/godot-xr-tools,strata,tool,0.1
rule-v0.1,0.45,godot,0cfbbc9f83c5,rule,GodotVR/godot_openvr,strata,game,0.1
rule-v0.1,0.45,godot,0cfbbc9f83c5,rule,Oen44/Godot-Inventory,strata,game,0.1
rule-v0.1,0.4,godot,0cfbbc9f83c5,rule,buresu/godot-spout,strata,addon,0.1
rule-v0.1,0.2,godot,0cfbbc9f83c5,rule,paulloz/godot-ink,strata,unknown,0.1
rule-v0.1,0.4,godot,0cfbbc9f83c5,rule,Carsmaniac/paintjob-packer,strata,tool,0.1
rule-v0.1,0.4,godot,0cfbbc9f83c5,rule,oxben/TowerDefense,strata,game,0.1
